day of the month,Start Time,finish time,place of work,subject of work,Lunch time,hours a day,Number of days of attendance ,normal hours,Overtime
1.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
2.0,0 days 06:30:00,0 days 15:00:00,חיפה,,0 days 00:30:00,0 days 08:00:00,1,0 days 08:00:00,0 days 00:00:00
5.0,0 days 06:30:00,0 days 18:00:00,חיפה,,0 days 00:30:00,0 days 11:00:00,1,0 days 08:30:00,0 days 02:30:00
6.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
7.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
8.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
9.0,0 days 06:30:00,0 days 19:00:00,חיפה,הדרכה חשמל ,0 days 00:30:00,0 days 12:00:00,1,0 days 08:00:00,0 days 04:00:00
12.0,0 days 06:30:00,0 days 18:00:00,חיפה,שקעים במשק,0 days 00:30:00,0 days 11:00:00,1,0 days 08:30:00,0 days 02:30:00
13.0,0 days 06:30:00,0 days 17:00:00,חיפה,שקעים במשק,0 days 00:30:00,0 days 10:00:00,1,0 days 08:30:00,0 days 01:30:00
14.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
15.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
16.0,0 days 06:30:00,0 days 15:00:00,חיפה,,0 days 00:30:00,0 days 08:00:00,1,0 days 08:00:00,0 days 00:00:00
19.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
20.0,0 days 06:30:00,0 days 16:30:00,חיפה,עברת משק,0 days 00:30:00,0 days 09:30:00,1,0 days 08:30:00,0 days 01:00:00
21.0,0 days 06:30:00,0 days 17:30:00,חיפה,אקווריום משק,0 days 00:30:00,0 days 10:30:00,1,0 days 08:30:00,0 days 02:00:00
22.0,0 days 06:30:00,0 days 16:00:00,כרמיאל ,,0 days 00:30:00,0 days 09:00:00,1,0 days 08:30:00,0 days 00:30:00
23.0,0 days 06:30:00,0 days 15:00:00,חיפה,,0 days 00:30:00,0 days 08:00:00,1,0 days 08:00:00,0 days 00:00:00
26.0,0 days 06:30:00,0 days 15:30:00,חיפה,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
27.0,0 days 06:30:00,0 days 15:30:00,חיפה תחנת כוח ,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
28.0,0 days 06:30:00,0 days 15:30:00,חדרה ,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
29.0,0 days 06:30:00,0 days 15:30:00,חיפה ,,0 days 00:30:00,0 days 08:30:00,1,0 days 08:30:00,0 days 00:00:00
30.0,0 days 06:30:00,0 days 15:00:00,חיפה,,0 days 00:30:00,0 days 08:00:00,1,0 days 08:00:00,0 days 00:00:00
