day of the month,Start Time,finish time,place of work,subject of work,Lunch time,hours a day,Number of days of attendance ,normal hours,Overtime
1.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
2.0,6:30:00,15:00:00,חיפה,,0:30,8:00:00,1,8:00:00,0:00:00
5.0,6:30:00,18:00:00,חיפה,,0:30,11:00:00,1,8:30:00,2:30:00
6.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
7.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
8.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
9.0,6:30:00,19:00:00,חיפה,הדרכה חשמל ,0:30,12:00:00,1,8:00:00,4:00:00
12.0,6:30:00,18:00:00,חיפה,שקעים במשק,0:30,11:00:00,1,8:30:00,2:30:00
13.0,6:30:00,17:00:00,חיפה,שקעים במשק,0:30,10:00:00,1,8:30:00,1:30:00
14.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
15.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
16.0,6:30:00,15:00:00,חיפה,,0:30,8:00:00,1,8:00:00,0:00:00
19.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
20.0,6:30:00,16:30:00,חיפה,עברת משק,0:30,9:30:00,1,8:30:00,1:00:00
21.0,6:30:00,17:30:00,חיפה,אקווריום משק,0:30,10:30:00,1,8:30:00,2:00:00
22.0,6:30:00,16:00:00,כרמיאל ,,0:30,9:00:00,1,8:30:00,0:30:00
23.0,6:30:00,15:00:00,חיפה,,0:30,8:00:00,1,8:00:00,0:00:00
26.0,6:30:00,15:30:00,חיפה,,0:30,8:30:00,1,8:30:00,0:00:00
27.0,6:30:00,15:30:00,חיפה תחנת כוח ,,0:30,8:30:00,1,8:30:00,0:00:00
28.0,6:30:00,15:30:00,חדרה ,,0:30,8:30:00,1,8:30:00,0:00:00
29.0,6:30:00,15:30:00,חיפה ,,0:30,8:30:00,1,8:30:00,0:00:00
30.0,6:30:00,15:00:00,חיפה,,0:30,8:00:00,1,8:00:00,0:00:00
,,,,,"סה""כ שעות",198:30:00,22,16:30:00,14:00:00
